Time,Hourofday,Plot,Light,C
0.7292,17.5008,Beneath,852,N
0.7396,17.7504,Beneath,882,N
0.75,18,Beneath,114.3,N
0.7604,18.2496,Beneath,114.3,N
0.7708,18.4992,Beneath,122.9,N
0.7813,18.7512,Beneath,93.5,N
0.7917,19.0008,Beneath,80.1,N
0.8021,19.2504,Beneath,65.09,N
0.8125,19.5,Beneath,60.92,N
0.8229,19.7496,Beneath,53.19,N
0.8333,19.9992,Beneath,29.52,N
0.8438,20.2512,Beneath,10.96,N
0.8542,20.5008,Beneath,3.834,N
0.8646,20.7504,Beneath,0.807,N
0.875,21,Beneath,0.269,N
0.8854,21.2496,Beneath,0.269,N
0.8958,21.4992,Beneath,0.269,N
0.9063,21.7512,Beneath,0.269,N
0.9167,22.0008,Beneath,0.269,N
0.9271,22.2504,Beneath,0.269,N
0.9375,22.5,Beneath,0.269,N
0.9479,22.7496,Beneath,0.269,N
0.9583,22.9992,Beneath,0.269,N
0.9688,23.2512,Beneath,0.202,N
0.9792,23.5008,Beneath,0.202,N
0.9896,23.7504,Beneath,0.202,N
0,0,Between,0.269,N
0.0104,0.2496,Between,0.269,N
0.0208,0.4992,Between,0.269,N
0.0313,0.7512,Between,0.269,N
0.0417,1.0008,Between,0.337,N
0.0521,1.2504,Between,0.269,N
0.0625,1.5,Between,0.202,N
0.0729,1.7496,Between,0.202,N
0.0833,1.9992,Between,0.202,N
0.0938,2.2512,Between,0.202,N
0.1042,2.5008,Between,0.269,N
0.1146,2.7504,Between,0.202,N
0.125,3,Between,0.202,N
0.1354,3.2496,Between,0.202,N
0.1458,3.4992,Between,0.202,N
0.1563,3.7512,Between,0.202,N
0.1667,4.0008,Between,0.202,N
0.1771,4.2504,Between,0.202,N
0.1875,4.5,Between,0.269,N
0.1979,4.7496,Between,0.202,N
0.2083,4.9992,Between,0.269,N
0.2188,5.2512,Between,1.078,N
0.2292,5.5008,Between,6.062,N
0.2396,5.7504,Between,20.27,N
0.25,6,Between,45.33,N
0.2604,6.2496,Between,54.49,N
0.2708,6.4992,Between,66.88,N
0.2813,6.7512,Between,76.24,N
0.2917,7.0008,Between,345,N
0.3021,7.2504,Between,426.6,N
0.3125,7.5,Between,85,N
0.3229,7.7496,Between,87.7,N
0.3333,7.9992,Between,92.6,N
0.3438,8.2512,Between,96.6,N
0.3542,8.5008,Between,101.7,N
0.3646,8.7504,Between,106,N
0.375,9,Between,111.9,N
0.3854,9.2496,Between,117.8,N
0.3958,9.4992,Between,125.1,N
0.4063,9.7512,Between,135,N
0.4167,10.0008,Between,1578,N
